Date,Event,Category,Description
1990-08-02,Gulf War begins,Geopolitical,Iraq invades Kuwait, leading to oil supply disruptions.
1997-07-01,Asian Financial Crisis,Economic,Financial crisis reduces demand for oil in Asian markets.
2001-09-11,September 11 Attacks,Geopolitical,Terrorist attacks in the US lead to market uncertainty and aviation slowdown.
2003-03-20,Iraq War Begins,Geopolitical,US-led coalition invades Iraq, creating production uncertainty.
2008-09-15,Lehman Brothers Collapse,Economic,Trigger of the global financial crisis, leading to a massive demand shock.
2011-03-11,Arab Spring peaks & Libyan War,Geopolitical,Protests and civil war disrupt Libyan oil production.
2014-11-27,OPEC Production Decision,OPEC Policy,OPEC decides not to cut production despite oversupply, causing a price crash.
2018-05-08,US withdraws from Iran Deal,Geopolitical,US reinstates economic sanctions against Iranian oil exports.
2020-03-08,OPEC-Russia Price War,OPEC Policy,Russia and Saudi Arabia disagree on cuts, initiating a temporary price war.
2020-03-11,COVID-19 Pandemic Declared,Economic,Global lockdowns cause unprecedented collapse in travel and oil demand.
2020-04-12,OPEC+ Historic Production Cut,OPEC Policy,Agreement to cut production by 9.7 million bpd to stabilize prices.
2022-02-24,Russia invades Ukraine,Geopolitical,Sanctions and supply worries push Brent oil prices over $100/barrel.